Name,Date,Price
ALUMINUM,31jul2002,1303
ALUMINUM,30aug2002,1296.25
ALUMINUM,30sep2002,1284
ALUMINUM,31oct2002,1349
ALUMINUM,29nov2002,1394.5
ALUMINUM,31dec2002,1349.25
ALUMINUM,31jan2003,1417.25
ALUMINUM,28feb2003,1423.75
ALUMINUM,31mar2003,1343.5
ALUMINUM,30apr2003,1364.5
ALUMINUM,30may2003,1437.75
ALUMINUM,30jun2003,1392
ALUMINUM,31jul2003,1479.5
ALUMINUM,29aug2003,1432.75
ALUMINUM,30sep2003,1413.25
ALUMINUM,31oct2003,1517.5
ALUMINUM,28nov2003,1540.75
ALUMINUM,31dec2003,1592.75
ALUMINUM,30jan2004,1644.75
ALUMINUM,27feb2004,1709
ALUMINUM,31mar2004,1715
ALUMINUM,30apr2004,1658.25
ALUMINUM,31may2004,1683.75
ALUMINUM,30jun2004,1720.25
ALUMINUM,30jul2004,1696.5
ALUMINUM,31aug2004,1685.25
ALUMINUM,30sep2004,1861.5
ALUMINUM,29oct2004,1847
ALUMINUM,30nov2004,1840.5
ALUMINUM,31dec2004,1963.5
ALUMINUM,31jan2005,1868
ALUMINUM,28feb2005,1929
ALUMINUM,31mar2005,1984.5
ALUMINUM,29apr2005,1822.75
ALUMINUM,31may2005,1735.5
ALUMINUM,30jun2005,1707.5
ALUMINUM,29jul2005,1841.75
ALUMINUM,31aug2005,1838.75
ALUMINUM,30sep2005,1837.75
ALUMINUM,31oct2005,1996
ALUMINUM,30nov2005,2147.5
ALUMINUM,30dec2005,2284.25
ALUMINUM,31jan2006,2499
ALUMINUM,28feb2006,2396.5
ALUMINUM,31mar2006,2451.25
ALUMINUM,28apr2006,2742
ALUMINUM,31may2006,2628
ALUMINUM,30jun2006,2599.75
ALUMINUM,31jul2006,2535
ALUMINUM,31aug2006,2471.5
ALUMINUM,29sep2006,2562
ALUMINUM,31oct2006,2807
ALUMINUM,30nov2006,2723.5
ALUMINUM,29dec2006,2838
ALUMINUM,31jan2007,2796.5
ALUMINUM,28feb2007,2829
ALUMINUM,30mar2007,2778.5
ALUMINUM,30apr2007,2845.5
ALUMINUM,31may2007,2763.5
ALUMINUM,29jun2007,2686.25
ALUMINUM,31jul2007,2700.5
ALUMINUM,31aug2007,2497.25
ALUMINUM,28sep2007,2475
ALUMINUM,31oct2007,2505
ALUMINUM,30nov2007,2458.5
ALUMINUM,31dec2007,2366
ALUMINUM,31jan2008,2682
ALUMINUM,29feb2008,3076
ALUMINUM,31mar2008,2951.25
ALUMINUM,30apr2008,2871.25
ALUMINUM,30may2008,2895.75
ALUMINUM,30jun2008,3073.5
ALUMINUM,31jul2008,2939.25
ALUMINUM,29aug2008,2672.5
ALUMINUM,30sep2008,2384.75
ALUMINUM,31oct2008,1998.5
ALUMINUM,28nov2008,1733
ALUMINUM,31dec2008,1513.75
ALUMINUM,30jan2009,1321.75
ALUMINUM,27feb2009,1314.5
ALUMINUM,31mar2009,1360.25
ALUMINUM,30apr2009,1465
ALUMINUM,29may2009,1412
ALUMINUM,30jun2009,1602
ALUMINUM,31jul2009,1873.5
ALUMINUM,31aug2009,1873.5
ALUMINUM,30sep2009,1864.25
ALUMINUM,30oct2009,1880.25
ALUMINUM,30nov2009,2034.5
ALUMINUM,31dec2009,2203.5
ALUMINUM,29jan2010,2053.5
ALUMINUM,26feb2010,2108
ALUMINUM,31mar2010,2299
ALUMINUM,30apr2010,2231
ALUMINUM,31may2010,2017
ALUMINUM,30jun2010,1960.25
ALUMINUM,30jul2010,2169.25
ALUMINUM,31aug2010,2039.25
ALUMINUM,30sep2010,2329.25
ALUMINUM,29oct2010,2323
ALUMINUM,30nov2010,2254.75
ALUMINUM,31dec2010,2459.25
ALUMINUM,31jan2011,2514.75
ALUMINUM,28feb2011,2575.5
ALUMINUM,31mar2011,2624.5
ALUMINUM,29apr2011,2763.75
ALUMINUM,31may2011,2661.25
ALUMINUM,30jun2011,2509.25
ALUMINUM,29jul2011,2603
ALUMINUM,31aug2011,2439.75
ALUMINUM,30sep2011,2130.25
ALUMINUM,31oct2011,2202.25
ALUMINUM,30nov2011,2110.75
ALUMINUM,30dec2011,1997
ALUMINUM,31jan2012,2208
ALUMINUM,29feb2012,2294.5
ALUMINUM,30mar2012,2094.25
ALUMINUM,30apr2012,2086
ALUMINUM,31may2012,1962.5
ALUMINUM,29jun2012,1882.75
ALUMINUM,31jul2012,1859.75
ALUMINUM,31aug2012,1890.75
ALUMINUM,28sep2012,2089.25
ALUMINUM,31oct2012,1887
ALUMINUM,30nov2012,2101.25
ALUMINUM,31dec2012,2046.5
ALUMINUM,31jan2013,2062.5
ALUMINUM,28feb2013,1969.5
ALUMINUM,29mar2013,1882.5
ALUMINUM,30apr2013,1839
ALUMINUM,31may2013,1885.75
ALUMINUM,28jun2013,1737.25
ALUMINUM,31jul2013,1767
ALUMINUM,30aug2013,1774.5
ALUMINUM,30sep2013,1806.25
ALUMINUM,31oct2013,1823
ALUMINUM,29nov2013,1717.75
ALUMINUM,31dec2013,1761.75
ALUMINUM,31jan2014,1671
ALUMINUM,28feb2014,1719.15
ALUMINUM,31mar2014,1751
ALUMINUM,30apr2014,1766.75
ALUMINUM,30may2014,1814.25
ALUMINUM,30jun2014,1863.75
ALUMINUM,31jul2014,1985.5
ALUMINUM,29aug2014,2081.5
ALUMINUM,30sep2014,1933.5
ALUMINUM,31oct2014,2064.5
ALUMINUM,28nov2014,2009.5
ALUMINUM,31dec2014,1833.75
ALUMINUM,30jan2015,1851.75
ALUMINUM,27feb2015,1809.25
ALUMINUM,31mar2015,1787.25
ALUMINUM,30apr2015,1914.25
ALUMINUM,29may2015,1708.25
ALUMINUM,30jun2015,1658.5
ALUMINUM,31jul2015,1589.5
ALUMINUM,31aug2015,1595.5
ALUMINUM,30sep2015,1577.25
ALUMINUM,30oct2015,1452.75
ALUMINUM,30nov2015,1444.25
ALUMINUM,31dec2015,1505.5
ALUMINUM,29jan2016,1520.75
ALUMINUM,29feb2016,1572.25
ALUMINUM,31mar2016,1508.75
ALUMINUM,29apr2016,1673.75
ALUMINUM,31may2016,1545.75
ALUMINUM,30jun2016,1645.75
ALUMINUM,29jul2016,1636.75
ALUMINUM,31aug2016,1600.75
ALUMINUM,30sep2016,1664.75
ALUMINUM,31oct2016,1734
ALUMINUM,30nov2016,1733.25
ALUMINUM,30dec2016,1694
ALUMINUM,31jan2017,1807
ALUMINUM,28feb2017,1921.25
ALUMINUM,31mar2017,1954.75
ALUMINUM,28apr2017,1904
ALUMINUM,31may2017,1920.25
ALUMINUM,30jun2017,1910.5
ALUMINUM,31jul2017,1899.75
ALUMINUM,31aug2017,2103.25
ALUMINUM,29sep2017,2081
ALUMINUM,31oct2017,2146.25
ALUMINUM,30nov2017,2033
ALUMINUM,29dec2017,2258.25
ALUMINUM,31jan2018,2223.5
ALUMINUM,28feb2018,2129.5
ALUMINUM,30mar2018,1990.75
ALUMINUM,30apr2018,2263.5
ALUMINUM,31may2018,2298.25
ALUMINUM,29jun2018,2164
ALUMINUM,31jul2018,2067.25
ALUMINUM,31aug2018,2109.5
ALUMINUM,28sep2018,2056
ALUMINUM,31oct2018,1947
ALUMINUM,30nov2018,1966.75
ALUMINUM,31dec2018,1822.75
ALUMINUM,31jan2019,1901
ALUMINUM,28feb2019,1894.75
ALUMINUM,29mar2019,1900.25
ALUMINUM,30apr2019,1773
ALUMINUM,31may2019,1777.5
ALUMINUM,28jun2019,1782.25
ALUMINUM,31jul2019,1782.25
ALUMINUM,30aug2019,1732.5
ALUMINUM,30sep2019,1707.5
ALUMINUM,31oct2019,1761.5
ALUMINUM,29nov2019,1780
ALUMINUM,31dec2019,1789.25
ALUMINUM,31jan2020,1703.5
ALUMINUM,28feb2020,1685.5
ALUMINUM,31mar2020,1501.5
ALUMINUM,30apr2020,1466.75
ALUMINUM,29may2020,1535
ALUMINUM,30jun2020,1593.75
ALUMINUM,31jul2020,1683.5
ALUMINUM,31aug2020,1771.5
ALUMINUM,30sep2020,1739.75
ALUMINUM,30oct2020,1853.5
ALUMINUM,30nov2020,2042.25
ALUMINUM,31dec2020,1979
ALUMINUM,29jan2021,1972.88
ALUMINUM,26feb2021,2131.75
ALUMINUM,31mar2021,2194.25
ALUMINUM,30apr2021,2390.5
ALUMINUM,31may2021,2466.76
ALUMINUM,30jun2021,2519.5
ALUMINUM,30jul2021,2603
ALUMINUM,31aug2021,2713
ALUMINUM,30sep2021,2849.75
ALUMINUM,29oct2021,2712.25
ALUMINUM,30nov2021,2640.5
ALUMINUM,31dec2021,2803
ALUMINUM,31jan2022,3047
ALUMINUM,28feb2022,3374
ALUMINUM,31mar2022,3483.61
ALUMINUM,29apr2022,3035.5
ALUMINUM,31may2022,2763.75
ALUMINUM,30jun2022,2432.5
ALUMINUM,29jul2022,2501.24
ALUMINUM,31aug2022,2364.75
ALUMINUM,30sep2022,2164.25
ALUMINUM,31oct2022,2220
ALUMINUM,30nov2022,2455
ALUMINUM,30dec2022,2349.51
ASX 200,31dec1979,227.36
ASX 200,31jan1980,248.91
ASX 200,29feb1980,263.23
ASX 200,31mar1980,243.7
ASX 200,30apr1980,251.01
ASX 200,30may1980,242.89
ASX 200,30jun1980,267.01
ASX 200,31jul1980,281.59
ASX 200,29aug1980,281.69
ASX 200,30sep1980,292.41
ASX 200,31oct1980,302.52
ASX 200,28nov1980,306.75
ASX 200,31dec1980,293.19
ASX 200,30jan1981,289.33
ASX 200,27feb1981,302.88
ASX 200,31mar1981,311.45
ASX 200,30apr1981,332.77
